realtime_start,realtime_end,date,value
2024-01-30,2024-01-30,1987-04-01,101499
2024-01-30,2024-01-30,1987-05-01,101728
2024-01-30,2024-01-30,1987-06-01,101900
2024-01-30,2024-01-30,1987-07-01,102247
2024-01-30,2024-01-30,1987-08-01,102420
2024-01-30,2024-01-30,1987-09-01,102647
2024-01-30,2024-01-30,1987-10-01,103138
2024-01-30,2024-01-30,1987-11-01,103372
2024-01-30,2024-01-30,1987-12-01,103661
2024-01-30,2024-01-30,1988-01-01,103753
2024-01-30,2024-01-30,1988-02-01,104214
2024-01-30,2024-01-30,1988-03-01,104489
2024-01-30,2024-01-30,1988-04-01,104732
2024-01-30,2024-01-30,1988-05-01,104962
2024-01-30,2024-01-30,1988-06-01,105326
2024-01-30,2024-01-30,1988-07-01,105550
2024-01-30,2024-01-30,1988-08-01,105674
2024-01-30,2024-01-30,1988-09-01,106013
2024-01-30,2024-01-30,1988-10-01,106276
2024-01-30,2024-01-30,1988-11-01,106617
2024-01-30,2024-01-30,1988-12-01,106898
2024-01-30,2024-01-30,1989-01-01,107161
2024-01-30,2024-01-30,1989-02-01,107427
2024-01-30,2024-01-30,1989-03-01,107621
2024-01-30,2024-01-30,1989-04-01,107791
2024-01-30,2024-01-30,1989-05-01,107913
2024-01-30,2024-01-30,1989-06-01,108027
2024-01-30,2024-01-30,1989-07-01,108069
2024-01-30,2024-01-30,1989-08-01,108120
2024-01-30,2024-01-30,1989-09-01,108369
2024-01-30,2024-01-30,1989-10-01,108476
2024-01-30,2024-01-30,1989-11-01,108752
2024-01-30,2024-01-30,1989-12-01,108836
2024-01-30,2024-01-30,1990-01-01,109188
2024-01-30,2024-01-30,1990-02-01,109432
2024-01-30,2024-01-30,1990-03-01,109636
2024-01-30,2024-01-30,1990-04-01,109670
2024-01-30,2024-01-30,1990-05-01,109833
2024-01-30,2024-01-30,1990-06-01,109857
2024-01-30,2024-01-30,1990-07-01,109823
2024-01-30,2024-01-30,1990-08-01,109609
2024-01-30,2024-01-30,1990-09-01,109521
2024-01-30,2024-01-30,1990-10-01,109373
2024-01-30,2024-01-30,1990-11-01,109220
2024-01-30,2024-01-30,1990-12-01,109172
2024-01-30,2024-01-30,1991-01-01,109050
2024-01-30,2024-01-30,1991-02-01,108731
2024-01-30,2024-01-30,1991-03-01,108568
2024-01-30,2024-01-30,1991-04-01,108351
2024-01-30,2024-01-30,1991-05-01,108249
2024-01-30,2024-01-30,1991-06-01,108337
2024-01-30,2024-01-30,1991-07-01,108290
2024-01-30,2024-01-30,1991-08-01,108301
2024-01-30,2024-01-30,1991-09-01,108334
2024-01-30,2024-01-30,1991-10-01,108361
2024-01-30,2024-01-30,1991-11-01,108301
2024-01-30,2024-01-30,1991-12-01,108333
2024-01-30,2024-01-30,1992-01-01,108367
2024-01-30,2024-01-30,1992-02-01,108313
2024-01-30,2024-01-30,1992-03-01,108360
2024-01-30,2024-01-30,1992-04-01,108515
2024-01-30,2024-01-30,1992-05-01,108648
2024-01-30,2024-01-30,1992-06-01,108717
2024-01-30,2024-01-30,1992-07-01,108799
2024-01-30,2024-01-30,1992-08-01,108922
2024-01-30,2024-01-30,1992-09-01,108955
2024-01-30,2024-01-30,1992-10-01,109135
2024-01-30,2024-01-30,1992-11-01,109279
2024-01-30,2024-01-30,1992-12-01,109502
2024-01-30,2024-01-30,1993-01-01,109794
2024-01-30,2024-01-30,1993-02-01,110044
2024-01-30,2024-01-30,1993-03-01,109992
2024-01-30,2024-01-30,1993-04-01,110295
2024-01-30,2024-01-30,1993-05-01,110570
2024-01-30,2024-01-30,1993-06-01,110751
2024-01-30,2024-01-30,1993-07-01,111060
2024-01-30,2024-01-30,1993-08-01,111209
2024-01-30,2024-01-30,1993-09-01,111455
2024-01-30,2024-01-30,1993-10-01,111733
2024-01-30,2024-01-30,1993-11-01,111989
2024-01-30,2024-01-30,1993-12-01,112323
2024-01-30,2024-01-30,1994-01-01,112598
2024-01-30,2024-01-30,1994-02-01,112779
2024-01-30,2024-01-30,1994-03-01,113240
2024-01-30,2024-01-30,1994-04-01,113587
2024-01-30,2024-01-30,1994-05-01,113923
2024-01-30,2024-01-30,1994-06-01,114237
2024-01-30,2024-01-30,1994-07-01,114607
2024-01-30,2024-01-30,1994-08-01,114899
2024-01-30,2024-01-30,1994-09-01,115254
2024-01-30,2024-01-30,1994-10-01,115457
2024-01-30,2024-01-30,1994-11-01,115872
2024-01-30,2024-01-30,1994-12-01,116174
2024-01-30,2024-01-30,1995-01-01,116504
2024-01-30,2024-01-30,1995-02-01,116692
2024-01-30,2024-01-30,1995-03-01,116907
2024-01-30,2024-01-30,1995-04-01,117065
2024-01-30,2024-01-30,1995-05-01,117050
2024-01-30,2024-01-30,1995-06-01,117285
2024-01-30,2024-01-30,1995-07-01,117377
2024-01-30,2024-01-30,1995-08-01,117639
2024-01-30,2024-01-30,1995-09-01,117880
2024-01-30,2024-01-30,1995-10-01,118029
2024-01-30,2024-01-30,1995-11-01,118168
2024-01-30,2024-01-30,1995-12-01,118325
2024-01-30,2024-01-30,1996-01-01,118318
2024-01-30,2024-01-30,1996-02-01,118734
2024-01-30,2024-01-30,1996-03-01,118990
2024-01-30,2024-01-30,1996-04-01,119156
2024-01-30,2024-01-30,1996-05-01,119489
2024-01-30,2024-01-30,1996-06-01,119770
2024-01-30,2024-01-30,1996-07-01,120015
2024-01-30,2024-01-30,1996-08-01,120201
2024-01-30,2024-01-30,1996-09-01,120402
2024-01-30,2024-01-30,1996-10-01,120663
2024-01-30,2024-01-30,1996-11-01,120949
2024-01-30,2024-01-30,1996-12-01,121145
2024-01-30,2024-01-30,1997-01-01,121363
2024-01-30,2024-01-30,1997-02-01,121675
2024-01-30,2024-01-30,1997-03-01,121989
2024-01-30,2024-01-30,1997-04-01,122284
2024-01-30,2024-01-30,1997-05-01,122551
2024-01-30,2024-01-30,1997-06-01,122816
2024-01-30,2024-01-30,1997-07-01,123112
2024-01-30,2024-01-30,1997-08-01,123092
2024-01-30,2024-01-30,1997-09-01,123577
2024-01-30,2024-01-30,1997-10-01,123924
2024-01-30,2024-01-30,1997-11-01,124229
2024-01-30,2024-01-30,1997-12-01,124551
2024-01-30,2024-01-30,1998-01-01,124813
2024-01-30,2024-01-30,1998-02-01,125019
2024-01-30,2024-01-30,1998-03-01,125164
2024-01-30,2024-01-30,1998-04-01,125447
2024-01-30,2024-01-30,1998-05-01,125847
2024-01-30,2024-01-30,1998-06-01,126078
2024-01-30,2024-01-30,1998-07-01,126208
2024-01-30,2024-01-30,1998-08-01,126547
2024-01-30,2024-01-30,1998-09-01,126745
2024-01-30,2024-01-30,1998-10-01,126950
2024-01-30,2024-01-30,1998-11-01,127224
2024-01-30,2024-01-30,1998-12-01,127599
2024-01-30,2024-01-30,1999-01-01,127704
2024-01-30,2024-01-30,1999-02-01,128118
2024-01-30,2024-01-30,1999-03-01,128234
2024-01-30,2024-01-30,1999-04-01,128598
2024-01-30,2024-01-30,1999-05-01,128810
2024-01-30,2024-01-30,1999-06-01,129088
2024-01-30,2024-01-30,1999-07-01,129422
2024-01-30,2024-01-30,1999-08-01,129569
2024-01-30,2024-01-30,1999-09-01,129781
2024-01-30,2024-01-30,1999-10-01,130179
2024-01-30,2024-01-30,1999-11-01,130466
2024-01-30,2024-01-30,1999-12-01,130780
2024-01-30,2024-01-30,2000-01-01,131009
2024-01-30,2024-01-30,2000-02-01,131120
2024-01-30,2024-01-30,2000-03-01,131605
2024-01-30,2024-01-30,2000-04-01,131884
2024-01-30,2024-01-30,2000-05-01,132106
2024-01-30,2024-01-30,2000-06-01,132060
2024-01-30,2024-01-30,2000-07-01,132226
2024-01-30,2024-01-30,2000-08-01,132231
2024-01-30,2024-01-30,2000-09-01,132356
2024-01-30,2024-01-30,2000-10-01,132352
2024-01-30,2024-01-30,2000-11-01,132553
2024-01-30,2024-01-30,2000-12-01,132718
2024-01-30,2024-01-30,2001-01-01,132698
2024-01-30,2024-01-30,2001-02-01,132785
2024-01-30,2024-01-30,2001-03-01,132753
2024-01-30,2024-01-30,2001-04-01,132456
2024-01-30,2024-01-30,2001-05-01,132412
2024-01-30,2024-01-30,2001-06-01,132296
2024-01-30,2024-01-30,2001-07-01,132171
2024-01-30,2024-01-30,2001-08-01,132024
2024-01-30,2024-01-30,2001-09-01,131765
2024-01-30,2024-01-30,2001-10-01,131452
2024-01-30,2024-01-30,2001-11-01,131142
2024-01-30,2024-01-30,2001-12-01,130985
2024-01-30,2024-01-30,2002-01-01,130852
2024-01-30,2024-01-30,2002-02-01,130732
2024-01-30,2024-01-30,2002-03-01,130721
2024-01-30,2024-01-30,2002-04-01,130617
2024-01-30,2024-01-30,2002-05-01,130633
2024-01-30,2024-01-30,2002-06-01,130683
2024-01-30,2024-01-30,2002-07-01,130583
2024-01-30,2024-01-30,2002-08-01,130587
2024-01-30,2024-01-30,2002-09-01,130498
2024-01-30,2024-01-30,2002-10-01,130621
2024-01-30,2024-01-30,2002-11-01,130618
2024-01-30,2024-01-30,2002-12-01,130470
2024-01-30,2024-01-30,2003-01-01,130579
2024-01-30,2024-01-30,2003-02-01,130443
2024-01-30,2024-01-30,2003-03-01,130233
2024-01-30,2024-01-30,2003-04-01,130176
2024-01-30,2024-01-30,2003-05-01,130197
2024-01-30,2024-01-30,2003-06-01,130192
2024-01-30,2024-01-30,2003-07-01,130183
2024-01-30,2024-01-30,2003-08-01,130153
2024-01-30,2024-01-30,2003-09-01,130252
2024-01-30,2024-01-30,2003-10-01,130439
2024-01-30,2024-01-30,2003-11-01,130482
2024-01-30,2024-01-30,2003-12-01,130595
2024-01-30,2024-01-30,2004-01-01,130765
2024-01-30,2024-01-30,2004-02-01,130822
2024-01-30,2024-01-30,2004-03-01,131139
2024-01-30,2024-01-30,2004-04-01,131410
2024-01-30,2024-01-30,2004-05-01,131694
2024-01-30,2024-01-30,2004-06-01,131789
2024-01-30,2024-01-30,2004-07-01,131849
2024-01-30,2024-01-30,2004-08-01,131936
2024-01-30,2024-01-30,2004-09-01,132082
2024-01-30,2024-01-30,2004-10-01,132433
2024-01-30,2024-01-30,2004-11-01,132509
2024-01-30,2024-01-30,2004-12-01,132633
2024-01-30,2024-01-30,2005-01-01,132778
2024-01-30,2024-01-30,2005-02-01,133033
2024-01-30,2024-01-30,2005-03-01,133153
2024-01-30,2024-01-30,2005-04-01,133516
2024-01-30,2024-01-30,2005-05-01,133687
2024-01-30,2024-01-30,2005-06-01,133940
2024-01-30,2024-01-30,2005-07-01,134297
2024-01-30,2024-01-30,2005-08-01,134495
2024-01-30,2024-01-30,2005-09-01,134551
2024-01-30,2024-01-30,2005-10-01,134644
2024-01-30,2024-01-30,2005-11-01,135001
2024-01-30,2024-01-30,2005-12-01,135161
2024-01-30,2024-01-30,2006-01-01,135425
2024-01-30,2024-01-30,2006-02-01,135731
2024-01-30,2024-01-30,2006-03-01,136040
2024-01-30,2024-01-30,2006-04-01,136211
2024-01-30,2024-01-30,2006-05-01,136247
2024-01-30,2024-01-30,2006-06-01,136328
2024-01-30,2024-01-30,2006-07-01,136522
2024-01-30,2024-01-30,2006-08-01,136688
2024-01-30,2024-01-30,2006-09-01,136824
2024-01-30,2024-01-30,2006-10-01,136848
2024-01-30,2024-01-30,2006-11-01,137069
2024-01-30,2024-01-30,2006-12-01,137253
2024-01-30,2024-01-30,2007-01-01,137476
2024-01-30,2024-01-30,2007-02-01,137554
2024-01-30,2024-01-30,2007-03-01,137781
2024-01-30,2024-01-30,2007-04-01,137843
2024-01-30,2024-01-30,2007-05-01,137993
2024-01-30,2024-01-30,2007-06-01,138072
2024-01-30,2024-01-30,2007-07-01,138042
2024-01-30,2024-01-30,2007-08-01,138017
2024-01-30,2024-01-30,2007-09-01,138103
2024-01-30,2024-01-30,2007-10-01,138174
2024-01-30,2024-01-30,2007-11-01,138292
2024-01-30,2024-01-30,2007-12-01,138398
2024-01-30,2024-01-30,2008-01-01,138399
2024-01-30,2024-01-30,2008-02-01,138323
2024-01-30,2024-01-30,2008-03-01,138255
2024-01-30,2024-01-30,2008-04-01,138038
2024-01-30,2024-01-30,2008-05-01,137847
2024-01-30,2024-01-30,2008-06-01,137689
2024-01-30,2024-01-30,2008-07-01,137492
2024-01-30,2024-01-30,2008-08-01,137209
2024-01-30,2024-01-30,2008-09-01,136758
2024-01-30,2024-01-30,2008-10-01,136294
2024-01-30,2024-01-30,2008-11-01,135546
2024-01-30,2024-01-30,2008-12-01,134849
2024-01-30,2024-01-30,2009-01-01,134069
2024-01-30,2024-01-30,2009-02-01,133311
2024-01-30,2024-01-30,2009-03-01,132493
2024-01-30,2024-01-30,2009-04-01,131825
2024-01-30,2024-01-30,2009-05-01,131470
2024-01-30,2024-01-30,2009-06-01,131002
2024-01-30,2024-01-30,2009-07-01,130661
2024-01-30,2024-01-30,2009-08-01,130480
2024-01-30,2024-01-30,2009-09-01,130240
2024-01-30,2024-01-30,2009-10-01,130062
2024-01-30,2024-01-30,2009-11-01,130059
2024-01-30,2024-01-30,2009-12-01,129808
2024-01-30,2024-01-30,2010-01-01,129798
2024-01-30,2024-01-30,2010-02-01,129700
2024-01-30,2024-01-30,2010-03-01,129864
2024-01-30,2024-01-30,2010-04-01,130115
2024-01-30,2024-01-30,2010-05-01,130645
2024-01-30,2024-01-30,2010-06-01,130501
2024-01-30,2024-01-30,2010-07-01,130420
2024-01-30,2024-01-30,2010-08-01,130424
2024-01-30,2024-01-30,2010-09-01,130339
2024-01-30,2024-01-30,2010-10-01,130620
2024-01-30,2024-01-30,2010-11-01,130754
2024-01-30,2024-01-30,2010-12-01,130835
2024-01-30,2024-01-30,2011-01-01,130842
2024-01-30,2024-01-30,2011-02-01,131052
2024-01-30,2024-01-30,2011-03-01,131277
2024-01-30,2024-01-30,2011-04-01,131604
2024-01-30,2024-01-30,2011-05-01,131704
2024-01-30,2024-01-30,2011-06-01,131936
2024-01-30,2024-01-30,2011-07-01,131991
2024-01-30,2024-01-30,2011-08-01,132124
2024-01-30,2024-01-30,2011-09-01,132345
2024-01-30,2024-01-30,2011-10-01,132557
2024-01-30,2024-01-30,2011-11-01,132701
2024-01-30,2024-01-30,2011-12-01,132901
2024-01-30,2024-01-30,2012-01-01,133246
2024-01-30,2024-01-30,2012-02-01,133518
2024-01-30,2024-01-30,2012-03-01,133744
2024-01-30,2024-01-30,2012-04-01,133827
2024-01-30,2024-01-30,2012-05-01,133935
2024-01-30,2024-01-30,2012-06-01,134007
2024-01-30,2024-01-30,2012-07-01,134153
2024-01-30,2024-01-30,2012-08-01,134330
2024-01-30,2024-01-30,2012-09-01,134512
2024-01-30,2024-01-30,2012-10-01,134671
2024-01-30,2024-01-30,2012-11-01,134834
2024-01-30,2024-01-30,2012-12-01,135075
2024-01-30,2024-01-30,2013-01-01,135265
2024-01-30,2024-01-30,2013-02-01,135544
2024-01-30,2024-01-30,2013-03-01,135689
2024-01-30,2024-01-30,2013-04-01,135876
2024-01-30,2024-01-30,2013-05-01,136091
2024-01-30,2024-01-30,2013-06-01,136269
2024-01-30,2024-01-30,2013-07-01,136391
2024-01-30,2024-01-30,2013-08-01,136635
2024-01-30,2024-01-30,2013-09-01,136819
2024-01-30,2024-01-30,2013-10-01,137039
2024-01-30,2024-01-30,2013-11-01,137314
2024-01-30,2024-01-30,2013-12-01,137368
2024-01-30,2024-01-30,2014-01-01,137552
2024-01-30,2024-01-30,2014-02-01,137707
2024-01-30,2024-01-30,2014-03-01,137986
2024-01-30,2024-01-30,2014-04-01,138298
2024-01-30,2024-01-30,2014-05-01,138501
2024-01-30,2024-01-30,2014-06-01,138833
2024-01-30,2024-01-30,2014-07-01,139076
2024-01-30,2024-01-30,2014-08-01,139258
2024-01-30,2024-01-30,2014-09-01,139563
2024-01-30,2024-01-30,2014-10-01,139805
2024-01-30,2024-01-30,2014-11-01,140089
2024-01-30,2024-01-30,2014-12-01,140366
2024-01-30,2024-01-30,2015-01-01,140562
2024-01-30,2024-01-30,2015-02-01,140829
2024-01-30,2024-01-30,2015-03-01,140924
2024-01-30,2024-01-30,2015-04-01,141202
2024-01-30,2024-01-30,2015-05-01,141540
2024-01-30,2024-01-30,2015-06-01,141695
2024-01-30,2024-01-30,2015-07-01,141989
2024-01-30,2024-01-30,2015-08-01,142130
2024-01-30,2024-01-30,2015-09-01,142265
2024-01-30,2024-01-30,2015-10-01,142585
2024-01-30,2024-01-30,2015-11-01,142810
2024-01-30,2024-01-30,2015-12-01,143083
2024-01-30,2024-01-30,2016-01-01,143198
2024-01-30,2024-01-30,2016-02-01,143410
2024-01-30,2024-01-30,2016-03-01,143666
2024-01-30,2024-01-30,2016-04-01,143856
2024-01-30,2024-01-30,2016-05-01,143901
2024-01-30,2024-01-30,2016-06-01,144152
2024-01-30,2024-01-30,2016-07-01,144515
2024-01-30,2024-01-30,2016-08-01,144664
2024-01-30,2024-01-30,2016-09-01,144961
2024-01-30,2024-01-30,2016-10-01,145069
2024-01-30,2024-01-30,2016-11-01,145189
2024-01-30,2024-01-30,2016-12-01,145408
2024-01-30,2024-01-30,2017-01-01,145639
2024-01-30,2024-01-30,2017-02-01,145845
2024-01-30,2024-01-30,2017-03-01,145975
2024-01-30,2024-01-30,2017-04-01,146172
2024-01-30,2024-01-30,2017-05-01,146389
2024-01-30,2024-01-30,2017-06-01,146588
2024-01-30,2024-01-30,2017-07-01,146772
2024-01-30,2024-01-30,2017-08-01,146907
2024-01-30,2024-01-30,2017-09-01,146999
2024-01-30,2024-01-30,2017-10-01,147147
2024-01-30,2024-01-30,2017-11-01,147377
2024-01-30,2024-01-30,2017-12-01,147521
2024-01-30,2024-01-30,2018-01-01,147670
2024-01-30,2024-01-30,2018-02-01,148058
2024-01-30,2024-01-30,2018-03-01,148281
2024-01-30,2024-01-30,2018-04-01,148426
2024-01-30,2024-01-30,2018-05-01,148755
2024-01-30,2024-01-30,2018-06-01,148966
2024-01-30,2024-01-30,2018-07-01,149022
2024-01-30,2024-01-30,2018-08-01,149272
2024-01-30,2024-01-30,2018-09-01,149361
2024-01-30,2024-01-30,2018-10-01,149526
2024-01-30,2024-01-30,2018-11-01,149622
2024-01-30,2024-01-30,2018-12-01,149805
2024-01-30,2024-01-30,2019-01-01,150114
2024-01-30,2024-01-30,2019-02-01,150092
2024-01-30,2024-01-30,2019-03-01,150320
2024-01-30,2024-01-30,2019-04-01,150563
2024-01-30,2024-01-30,2019-05-01,150630
2024-01-30,2024-01-30,2019-06-01,150797
2024-01-30,2024-01-30,2019-07-01,150879
2024-01-30,2024-01-30,2019-08-01,151111
2024-01-30,2024-01-30,2019-09-01,151318
2024-01-30,2024-01-30,2019-10-01,151447
2024-01-30,2024-01-30,2019-11-01,151662
2024-01-30,2024-01-30,2019-12-01,151764
2024-01-30,2024-01-30,2020-01-01,152098
2024-01-30,2024-01-30,2020-02-01,152371
2024-01-30,2024-01-30,2020-03-01,150944
2024-01-30,2024-01-30,2020-04-01,130430
2024-01-30,2024-01-30,2020-05-01,133055
2024-01-30,2024-01-30,2020-06-01,137620
2024-01-30,2024-01-30,2020-07-01,139064
2024-01-30,2024-01-30,2020-08-01,140799
2024-01-30,2024-01-30,2020-09-01,141760
2024-01-30,2024-01-30,2020-10-01,142479
2024-01-30,2024-01-30,2020-11-01,142743
2024-01-30,2024-01-30,2020-12-01,142475
2024-01-30,2024-01-30,2021-01-01,142969
2024-01-30,2024-01-30,2021-02-01,143544
2024-01-30,2024-01-30,2021-03-01,144328
2024-01-30,2024-01-30,2021-04-01,144614
2024-01-30,2024-01-30,2021-05-01,145096
2024-01-30,2024-01-30,2021-06-01,145789
2024-01-30,2024-01-30,2021-07-01,146558
2024-01-30,2024-01-30,2021-08-01,147221
2024-01-30,2024-01-30,2021-09-01,147778
2024-01-30,2024-01-30,2021-10-01,148559
2024-01-30,2024-01-30,2021-11-01,149173
2024-01-30,2024-01-30,2021-12-01,149742
2024-01-30,2024-01-30,2022-01-01,150106
2024-01-30,2024-01-30,2022-02-01,151010
2024-01-30,2024-01-30,2022-03-01,151424
2024-01-30,2024-01-30,2022-04-01,151678
2024-01-30,2024-01-30,2022-05-01,152042
2024-01-30,2024-01-30,2022-06-01,152412
2024-01-30,2024-01-30,2022-07-01,152980
2024-01-30,2024-01-30,2022-08-01,153332
2024-01-30,2024-01-30,2022-09-01,153682
2024-01-30,2024-01-30,2022-10-01,154006
2024-01-30,2024-01-30,2022-11-01,154296
2024-01-30,2024-01-30,2022-12-01,154535
2024-01-30,2024-01-30,2023-01-01,155007
2024-01-30,2024-01-30,2023-02-01,155255
2024-01-30,2024-01-30,2023-03-01,155472
2024-01-30,2024-01-30,2023-04-01,155689
2024-01-30,2024-01-30,2023-05-01,155970
2024-01-30,2024-01-30,2023-06-01,156075
2024-01-30,2024-01-30,2023-07-01,156311
2024-01-30,2024-01-30,2023-08-01,156476
2024-01-30,2024-01-30,2023-09-01,156738
2024-01-30,2024-01-30,2023-10-01,156843
2024-01-30,2024-01-30,2023-11-01,157016
2024-01-30,2024-01-30,2023-12-01,157232
